Lat,Lon,isChain,RestaurantName,Cuisine
45.52621,-122.67623,1,GoPuff,Restaurant
45.52056,-122.6735,1,Burger Bytes,Restaurant
45.53287,-122.6936,1,Burger Bytes,Restaurant
45.517345,-122.672356,1,Cinco De Mayo,Restaurant
45.5062,-122.42175,1,Dragon Palace,Chinese Sushi Asian
45.53791,-122.69865,1,Dutch Bros,Cafe
45.52633,-122.66101,1,Dutch Bros,Cafe
45.50497,-122.48429,1,Dutch Bros,Restaurant
45.558933,-122.64221,1,Hana Sushi,Japanese Sushi Asian
45.48991,-122.653046,1,La Carreta Mexican Restaurant,Mexican Latin
45.52286,-122.69361,1,Mazatlan Mexican Restaurant,Mexican
45.52056,-122.6735,1,Red Corn Taqueria,Restaurant
45.509956,-122.68157,1,Red Corn Taqueria,Restaurant
45.5034,-122.65799,1,Red Corn Taqueria,Restaurant
45.51186,-122.61481,1,Angelos,Restaurant
45.50511,-122.65292,1,Double Dragon,Asian Vietnamese
45.52229,-122.67167,1,Mandarin House,Chinese
45.5115,-122.6823,1,Cafe Yumm,Asian
45.58564,-122.59159,1,Cafe Yumm,Fast Food Cafe
45.53024,-122.65843,1,Cafe Yumm,Cafe
45.483208,-122.68265,1,Chart House,American Seafood
45.548115,-122.5773,1,El Burrito Loco,Mexican Latin Spanish
45.5095,-122.673355,1,McCormick and Schmicks Seafood and Steaks,American Seafood
45.50516,-122.41273,1,Biscuits Cafe,American
45.4931,-122.57452,1,Happy Teriyaki,Restaurant
45.50483,-122.630585,1,Salt and Straw,American
45.559174,-122.64412,1,Salt and Straw,American
45.529007,-122.69848,1,Salt and Straw,American
45.53261,-122.5589,1,Muchas Gracias Mexican Food,Mexican
45.46036,-122.70742,1,Muchas Gracias Mexican Food,Mexican
45.46377,-122.69993,1,Taste,Restaurant
45.48484,-122.60864,1,Toast,American
45.55833,-122.55113,1,El Sombrero Mexican Restaurant,Mexican
45.47941,-122.61411,1,Pizza Roma,Bar Pizza Pub
45.51971,-122.67621,1,Shanghai Restaurant,Chinese
45.5046,-122.54997,1,Kyoto Sushi,Restaurant
45.51659,-122.65156,1,Roost,American French
45.43375,-122.70365,1,Little Big Burger,American
45.49627,-122.67081,1,Little Big Burger,American Fast Food
45.524097,-122.681114,1,Little Big Burger,American Fast Food
45.55021,-122.67586,1,Little Big Burger,American Fast Food
45.52941,-122.69839,1,Little Big Burger,American Fast Food
45.46866,-122.71054,1,Little Big Burger,Restaurant
45.55903,-122.644066,1,Little Big Burger,American Fast Food
45.53019,-122.65779,1,Little Big Burger,Cafe
45.50952,-122.68443,1,Panda Cafe,Restaurant
45.56307,-122.61818,1,Sub Shop,Restaurant
45.53505,-122.47702,1,Sushi Village,Japanese Sushi Asian Korean
45.50792,-122.5781,1,Zero Degrees,Mexican Asian
45.51812,-122.67414,1,Cafe Roma,Restaurant
45.52056,-122.6735,1,Fork and Ladle,Restaurant
